"","Minutes","Team","Shot","Self","Other","X","Y","Distance"
"1",2,"AaB","Shot on target","0","0",3481,130,17.74
"2",2,"AaB","Shot not on target","0","0",4666,-64,5.87
"3",3,"Esbjerg fB","Shot on target","0","0",3351,-650,20.07
"4",9,"AaB","Shot not on target","0","0",3094,-143,21.61
"5",9,"AaB","Shot not on target","0","0",2518,-611,27.99
"6",12,"Esbjerg fB","Shot on target","1","0",2791,-296,24.77
"7",14,"AaB","Shot not on target","0","1",2672,1870,31.85
"8",17,"AaB","Shot on target","0","1",2763,-154,24.92
"9",28,"AaB","Shot on target","0","1",2286,1009,31.31
"10",34,"Esbjerg fB","Shot on target","1","0",4246,-1039,14.45
"11",34,"Esbjerg fB","Shot not on target","1","0",4550,-1246,14.29
"12",35,"AaB","Shot on target","0","1",3123,1236,24.6
"13",38,"AaB","Shot not on target","0","1",3117,2048,29.57
"14",40,"AaB","Shot not on target","0","1",2842,863,25.58
"15",43,"AaB","Shot not on target","0","1",2084,-2528,40.51
